NM,range,mean_max_03,tpr,tnr
1.5,3335,0.89884,0.20674,0.20674
1.5,3345,0.89884,0.20674,0.20674
1.5,3355,0.89884,0.20674,0.20674
1.5,3365,0.89884,0.20674,0.20674
1.5,3375,0.89884,0.20674,0.20674
1.5,3385,0.89884,0.20674,0.20674
1.5,3395,0.89884,0.20674,0.20674
1.5,3405,0.89884,0.20674,0.20674
1.5,3415,0.89884,0.20674,0.20674
1.5,3425,0.89884,0.20674,0.20674
1.5,3435,0.89884,0.20674,0.20674
1.5,3445,0.89884,0.20674,0.20674
1.5,3455,0.89884,0.20674,0.20674
1.5,3465,0.89884,0.20674,0.20674
1.5,3475,0.89884,0.20674,0.20674
1.5,3485,0.89884,0.20674,0.20674
1.5,3495,0.89884,0.20674,0.20674
1.5,3505,0.89884,0.20674,0.20674
1.5,3515,0.89884,0.20674,0.20674
1.5,3525,0.89884,0.20674,0.20674
1.5,3535,0.89884,0.20674,0.20674
1.5,3545,0.89884,0.20674,0.20674
1.5,3555,0.89884,0.20674,0.20674
1.5,3565,0.89884,0.20674,0.20674
1.5,3575,0.89884,0.20674,0.20674
1.5,3585,0.89884,0.20674,0.20674
1.5,3595,0.89884,0.20674,0.20674
1.5,3605,0.89884,0.20674,0.20674
1.5,3615,0.89884,0.20674,0.20674
1.5,3625,0.89884,0.20674,0.20674
1.5,3635,0.89884,0.20674,0.20674
1.5,3645,0.89884,0.20674,0.20674
1.5,3655,0.89884,0.20674,0.20674
1.5,3665,0.89884,0.20674,0.20674
1.5,3675,0.89884,0.20674,0.20674
1.5,3685,0.89884,0.20674,0.20674
1.5,3695,0.89884,0.20674,0.20674
2,3705,0.85121,0.12347,0.12347
2,3715,0.85121,0.12347,0.12347
2,3725,0.85121,0.12347,0.12347
2,3735,0.85121,0.12347,0.12347
2,3745,0.85121,0.12347,0.12347
2,3755,0.85121,0.12347,0.12347
2,3765,0.85121,0.12347,0.12347
2,3775,0.85121,0.12347,0.12347
2,3785,0.85121,0.12347,0.12347
2,3795,0.85121,0.12347,0.12347
2,3805,0.85121,0.12347,0.12347
2,3815,0.85121,0.12347,0.12347
2,3825,0.85121,0.12347,0.12347
2,3835,0.85121,0.12347,0.12347
2,3845,0.85121,0.12347,0.12347
2,3855,0.85121,0.12347,0.12347
2,3865,0.85121,0.12347,0.12347
2,3875,0.85121,0.12347,0.12347
2,3885,0.85121,0.12347,0.12347
2,3895,0.85121,0.12347,0.12347
2,3905,0.85121,0.12347,0.12347
2,3915,0.85121,0.12347,0.12347
2,3925,0.85121,0.12347,0.12347
2,3935,0.85121,0.12347,0.12347
2,3945,0.85121,0.12347,0.12347
2,3955,0.85121,0.12347,0.12347
2,3965,0.85121,0.12347,0.12347
2,3975,0.85121,0.12347,0.12347
2,3985,0.85121,0.12347,0.12347
2,3995,0.85121,0.12347,0.12347
2,4005,0.85121,0.12347,0.12347
2,4015,0.85121,0.12347,0.12347
2,4025,0.85121,0.12347,0.12347
2,4035,0.85121,0.12347,0.12347
2,4045,0.85121,0.12347,0.12347
2,4055,0.85121,0.12347,0.12347
2,4065,0.85121,0.12347,0.12347
2,4075,0.85121,0.12347,0.12347
2,4085,0.85121,0.12347,0.12347
2,4095,0.85121,0.12347,0.12347
2,4105,0.85121,0.12347,0.12347
2,4115,0.85121,0.12347,0.12347
2,4125,0.85121,0.12347,0.12347
2,4135,0.85121,0.12347,0.12347
2,4145,0.85121,0.12347,0.12347
2,4155,0.85121,0.12347,0.12347
2,4165,0.85121,0.12347,0.12347
2,4175,0.85121,0.12347,0.12347
2,4185,0.85121,0.12347,0.12347
2,4195,0.85121,0.12347,0.12347
2,4205,0.85121,0.12347,0.12347
2,4215,0.85121,0.12347,0.12347
2,4225,0.85121,0.12347,0.12347
2,4235,0.85121,0.12347,0.12347
2,4245,0.85121,0.12347,0.12347
2,4255,0.85121,0.12347,0.12347
2,4265,0.85121,0.12347,0.12347
2,4275,0.85121,0.12347,0.12347
2,4285,0.85121,0.12347,0.12347
2,4295,0.85121,0.12347,0.12347
2,4305,0.85121,0.12347,0.12347
2,4315,0.85121,0.12347,0.12347
2,4325,0.85121,0.12347,0.12347
2,4335,0.85121,0.12347,0.12347
2,4345,0.85121,0.12347,0.12347
2,4355,0.85121,0.12347,0.12347
2,4365,0.85121,0.12347,0.12347
2,4375,0.85121,0.12347,0.12347
2,4385,0.85121,0.12347,0.12347
2,4395,0.85121,0.12347,0.12347
2,4405,0.85121,0.12347,0.12347
2,4415,0.85121,0.12347,0.12347
2,4425,0.85121,0.12347,0.12347
2,4435,0.85121,0.12347,0.12347
2,4445,0.85121,0.12347,0.12347
2,4455,0.85121,0.12347,0.12347
2,4465,0.85121,0.12347,0.12347
2,4475,0.85121,0.12347,0.12347
2,4485,0.85121,0.12347,0.12347
2,4495,0.85121,0.12347,0.12347
2,4505,0.85121,0.12347,0.12347
2,4515,0.85121,0.12347,0.12347
2,4525,0.85121,0.12347,0.12347
2,4535,0.85121,0.12347,0.12347
2,4545,0.85121,0.12347,0.12347
2,4555,0.85121,0.12347,0.12347
2,4565,0.85121,0.12347,0.12347
2,4575,0.85121,0.12347,0.12347
2,4585,0.85121,0.12347,0.12347
2,4595,0.85121,0.12347,0.12347
2,4605,0.85121,0.12347,0.12347
2,4615,0.85121,0.12347,0.12347
2.5,4625,0.79741,0.07709,0.07709
2.5,4635,0.79741,0.07709,0.07709
2.5,4645,0.79741,0.07709,0.07709
2.5,4655,0.79741,0.07709,0.07709
2.5,4665,0.79741,0.07709,0.07709
2.5,4675,0.79741,0.07709,0.07709
2.5,4685,0.79741,0.07709,0.07709
2.5,4695,0.79741,0.07709,0.07709
2.5,4705,0.79741,0.07709,0.07709
2.5,4715,0.79741,0.07709,0.07709
2.5,4725,0.79741,0.07709,0.07709
2.5,4735,0.79741,0.07709,0.07709
2.5,4745,0.79741,0.07709,0.07709
