range,tpr,tnr
7655,0.74737,0.74737
7665,0.74737,0.74737
7675,0.74737,0.74737
7685,0.74737,0.74737
7695,0.74737,0.74737
7705,0.74737,0.74737
7715,0.74737,0.74737
7725,0.74737,0.74737
7735,0.74737,0.74737
7745,0.74737,0.74737
7755,0.74737,0.74737
7765,0.74737,0.74737
7775,0.74737,0.74737
7785,0.74737,0.74737
7795,0.74737,0.74737
7805,0.74737,0.74737
7815,0.74737,0.74737
7825,0.74737,0.74737
7835,0.74737,0.74737
7845,0.74737,0.74737
7855,0.74737,0.74737
7865,0.74737,0.74737
7875,0.74737,0.74737
7885,0.74737,0.74737
7895,0.74737,0.74737
7905,0.74737,0.74737
7915,0.74737,0.74737
7925,0.74737,0.74737
7935,0.74737,0.74737
7945,0.74737,0.74737
7955,0.74737,0.74737
7965,0.74737,0.74737
7975,0.74737,0.74737
7985,0.74737,0.74737
7995,0.74737,0.74737
8005,0.74737,0.74737
8015,0.74737,0.74737
8025,0.74737,0.74737
8035,0.74737,0.74737
8045,0.74737,0.74737
8055,0.74737,0.74737
8065,0.74737,0.74737
8075,0.74737,0.74737
8085,0.74737,0.74737
8095,0.74737,0.74737
8105,0.74737,0.74737
8115,0.74737,0.74737
8125,0.74737,0.74737
8135,0.74737,0.74737
8145,0.74737,0.74737
8155,0.74737,0.74737
8165,0.74737,0.74737
8175,0.74737,0.74737
8185,0.74737,0.74737
8195,0.74737,0.74737
8205,0.74737,0.74737
8215,0.74737,0.74737
8225,0.74737,0.74737
8235,0.74737,0.74737
8245,0.74737,0.74737
8255,0.74737,0.74737
8265,0.74737,0.74737
8275,0.74737,0.74737
8285,0.74737,0.74737
8295,0.74737,0.74737
8305,0.74737,0.74737
8315,0.74737,0.74737
8325,0.73802,0.73802
8335,0.73802,0.73802
8345,0.73802,0.73802
8355,0.73802,0.73802
8365,0.73802,0.73802
8375,0.73802,0.73802
8385,0.73802,0.73802
8395,0.73802,0.73802
8405,0.73802,0.73802
8415,0.73802,0.73802
8425,0.73802,0.73802
8435,0.73802,0.73802
8445,0.73802,0.73802
8455,0.73802,0.73802
8465,0.73802,0.73802
8475,0.73802,0.73802
8485,0.73802,0.73802
8495,0.73802,0.73802
8505,0.73802,0.73802
8515,0.73802,0.73802
8525,0.73802,0.73802
8535,0.73802,0.73802
8545,0.73802,0.73802
8555,0.73802,0.73802
8565,0.73802,0.73802
8575,0.73802,0.73802
8585,0.73802,0.73802
8595,0.73802,0.73802
8605,0.73802,0.73802
8615,0.73802,0.73802
8625,0.73802,0.73802
8635,0.73802,0.73802
8645,0.73802,0.73802
8655,0.73802,0.73802
8665,0.73802,0.73802
8675,0.73802,0.73802
8685,0.73802,0.73802
8695,0.73802,0.73802
8705,0.73802,0.73802
8715,0.73802,0.73802
8725,0.73802,0.73802
8735,0.73802,0.73802
8745,0.73802,0.73802
8755,0.73802,0.73802
8765,0.73802,0.73802
8775,0.73802,0.73802
8785,0.73802,0.73802
8795,0.73802,0.73802
8805,0.73802,0.73802
8815,0.73802,0.73802
8825,0.73802,0.73802
8835,0.73802,0.73802
8845,0.73802,0.73802
8855,0.73802,0.73802
8865,0.73802,0.73802
8875,0.73802,0.73802
8885,0.73802,0.73802
8895,0.73802,0.73802
8905,0.73802,0.73802
8915,0.73802,0.73802
8925,0.73802,0.73802
8935,0.73802,0.73802
8945,0.73802,0.73802
8955,0.73802,0.73802
8965,0.73802,0.73802
8975,0.73802,0.73802
8985,0.73802,0.73802
8995,0.73802,0.73802
9005,0.73802,0.73802
9015,0.73802,0.73802
9025,0.73802,0.73802
9035,0.73802,0.73802
9045,0.73802,0.73802
