range,tpr,tnr
4695,0.07709,0.07709
4705,0.07709,0.07709
4715,0.07709,0.07709
4725,0.07709,0.07709
4735,0.07709,0.07709
4745,0.07709,0.07709
4755,0.07709,0.07709
4765,0.07709,0.07709
4775,0.07709,0.07709
4785,0.07709,0.07709
4795,0.07709,0.07709
4805,0.07709,0.07709
4815,0.07709,0.07709
4825,0.07709,0.07709
4835,0.07709,0.07709
4845,0.07709,0.07709
4855,0.07709,0.07709
4865,0.07709,0.07709
4875,0.07709,0.07709
4885,0.07709,0.07709
4895,0.07709,0.07709
4905,0.07709,0.07709
4915,0.07709,0.07709
4925,0.07709,0.07709
4935,0.07709,0.07709
4945,0.07709,0.07709
4955,0.07709,0.07709
4965,0.07709,0.07709
4975,0.07709,0.07709
4985,0.07709,0.07709
4995,0.07709,0.07709
5005,0.07709,0.07709
5015,0.07709,0.07709
5025,0.07709,0.07709
5035,0.07709,0.07709
5045,0.07709,0.07709
5055,0.07709,0.07709
5065,0.07709,0.07709
5075,0.07709,0.07709
5085,0.07709,0.07709
5095,0.07709,0.07709
5105,0.07709,0.07709
5115,0.07709,0.07709
5125,0.07709,0.07709
5135,0.07709,0.07709
5145,0.07709,0.07709
5155,0.07709,0.07709
5165,0.07709,0.07709
5175,0.07709,0.07709
5185,0.07709,0.07709
5195,0.07709,0.07709
5205,0.07709,0.07709
5215,0.07709,0.07709
5225,0.07709,0.07709
5235,0.07709,0.07709
5245,0.07709,0.07709
5255,0.07709,0.07709
5265,0.07709,0.07709
5275,0.07709,0.07709
5285,0.07709,0.07709
5295,0.07709,0.07709
5305,0.07709,0.07709
5315,0.07709,0.07709
5325,0.07709,0.07709
5335,0.07709,0.07709
5345,0.07709,0.07709
5355,0.07709,0.07709
5365,0.07709,0.07709
5375,0.07709,0.07709
5385,0.07709,0.07709
5395,0.07709,0.07709
5405,0.07709,0.07709
5415,0.07709,0.07709
5425,0.07709,0.07709
5435,0.07709,0.07709
5445,0.07709,0.07709
5455,0.07709,0.07709
5465,0.07709,0.07709
5475,0.07709,0.07709
5485,0.07709,0.07709
5495,0.07709,0.07709
5505,0.07709,0.07709
5515,0.07709,0.07709
5525,0.07709,0.07709
5535,0.07709,0.07709
5545,0.07709,0.07709
5555,0.04562,0.04562
5565,0.04562,0.04562
5575,0.04562,0.04562
5585,0.04562,0.04562
5595,0.04562,0.04562
5605,0.04562,0.04562
5615,0.04562,0.04562
5625,0.04562,0.04562
5635,0.04562,0.04562
5645,0.04562,0.04562
5655,0.04562,0.04562
5665,0.04562,0.04562
5675,0.04562,0.04562
5685,0.04562,0.04562
5695,0.04562,0.04562
5705,0.04562,0.04562
5715,0.04562,0.04562
5725,0.04562,0.04562
5735,0.04562,0.04562
5745,0.04562,0.04562
5755,0.04562,0.04562
5765,0.04562,0.04562
5775,0.04562,0.04562
5785,0.04562,0.04562
5795,0.04562,0.04562
5805,0.04562,0.04562
5815,0.04562,0.04562
5825,0.04562,0.04562
5835,0.04562,0.04562
5845,0.04562,0.04562
5855,0.04562,0.04562
5865,0.04562,0.04562
5875,0.04562,0.04562
5885,0.04562,0.04562
5895,0.04562,0.04562
5905,0.04562,0.04562
5915,0.04562,0.04562
5925,0.04562,0.04562
5935,0.04562,0.04562
5945,0.04562,0.04562
5955,0.04562,0.04562
